store_id,sku_id,cluster_label,city,category,brand,sku_segment,sales_units,sales_value,cluster_avg_revenue,performance_gap_pct,performance_status
S0001,SKU00001,B,Kolkata,Staples,CoolSip,Value,19,931.1899999999999,147.170631276901,532.73,Star Performer
S0001,SKU00002,B,Kolkata,Beverages,PureCare,Premium,18,2135.7000000000003,357.3336734693878,497.68,Star Performer
S0001,SKU00003,B,Kolkata,Kids,FizMax,Premium,19,1833.5,301.08,508.97,Star Performer
S0001,SKU00004,B,Kolkata,Staples,FizMax,Premium,10,917.6999999999999,279.75945454545456,228.03,Star Performer
S0001,SKU00005,B,Kolkata,Staples,CoolSip,Value,13,302.12,72.8121568627451,314.93,Star Performer
S0001,SKU00006,B,Kolkata,Beverages,CoolSip,Standard,21,1018.7099999999999,142.91357142857143,612.82,Star Performer
S0001,SKU00007,B,Kolkata,Beverages,ChillFrost,Value,22,1490.5,211.63144329896906,604.29,Star Performer
S0001,SKU00008,B,Kolkata,Staples,CoolSip,Standard,15,914.55,189.19753125,383.38,Star Performer
S0001,SKU00009,B,Kolkata,Beverages,Miko,Value,22,441.32,60.550909090909094,628.84,Star Performer
S0001,SKU00010,B,Kolkata,Essentials,CoolSip,Premium,11,1141.1399999999999,316.1246131805157,260.98,Star Performer
S0001,SKU00011,B,Kolkata,Essentials,CoolSip,Value,16,878.88,168.53893175074182,421.47,Star Performer
S0001,SKU00012,B,Kolkata,Snacks,Miko,Value,14,479.08,103.88214285714284,361.18,Star Performer
S0001,SKU00013,B,Kolkata,Snacks,BakeWell,Standard,18,1201.8600000000001,199.59751524390245,502.14,Star Performer
S0001,SKU00014,B,Kolkata,Frozen,BakeWell,Premium,15,1599.75,325.98679245283023,390.74,Star Performer
S0001,SKU00015,B,Kolkata,Frozen,PureCare,Premium,13,1326.9099999999999,293.66951788491446,351.84,Star Performer
S0001,SKU00016,B,Kolkata,Staples,BakeWell,Premium,30,3472.2,350.388674351585,890.96,Star Performer
S0001,SKU00017,B,Kolkata,Snacks,CoolSip,Premium,18,1652.22,264.1192077727952,525.56,Star Performer
S0001,SKU00018,B,Kolkata,Essentials,FizMax,Standard,14,269.5,58.003660322108345,364.63,Star Performer
S0001,SKU00019,B,Kolkata,Kids,BakeWell,Value,14,337.82,69.1029411764706,388.86,Star Performer
S0001,SKU00020,B,Kolkata,Snacks,ChillFrost,Standard,21,624.54,93.9134142640364,565.02,Star Performer
S0001,SKU00021,B,Kolkata,Kids,ChillFrost,Value,36,1018.8,82.37087827426811,1136.84,Star Performer
S0001,SKU00022,B,Kolkata,Staples,CoolSip,Premium,27,2858.4900000000002,316.82344725111443,802.23,Star Performer
S0001,SKU00023,B,Kolkata,Frozen,ChillFrost,Value,15,783.0,153.7725,409.19,Star Performer
S0001,SKU00024,B,Kolkata,Frozen,FizMax,Value,30,1203.0,118.89190839694656,911.84,Star Performer
S0001,SKU00025,B,Kolkata,Beverages,BakeWell,Value,20,856.4,129.3338775510204,562.16,Star Performer
S0001,SKU00026,B,Kolkata,Staples,CoolSip,Premium,22,2520.98,342.5674062968516,635.91,Star Performer
S0001,SKU00027,B,Kolkata,Essentials,ChillFrost,Premium,22,2059.42,267.9326222222222,668.63,Star Performer
S0001,SKU00028,B,Kolkata,Kids,FizMax,Value,14,448.56,102.35381974248926,338.24,Star Performer
S0001,SKU00029,B,Kolkata,Kids,CoolSip,Standard,24,660.48,84.5939064856712,680.77,Star Performer
S0001,SKU00030,B,Kolkata,Staples,ChillFrost,Value,18,1419.84,241.2656790123457,488.5,Star Performer
S0001,SKU00031,B,Kolkata,Snacks,ChillFrost,Value,17,1034.11,190.64157060518733,442.44,Star Performer
S0001,SKU00032,B,Kolkata,Kids,PureCare,Value,28,974.6800000000001,102.49611111111113,850.94,Star Performer
S0001,SKU00033,B,Kolkata,Essentials,CoolSip,Standard,11,660.77,180.73159189580318,265.61,Star Performer
S0001,SKU00034,B,Kolkata,Staples,Miko,Standard,17,1398.59,259.40636363636366,439.15,Star Performer
S0001,SKU00035,B,Kolkata,Frozen,CoolSip,Standard,19,494.95000000000005,82.34650455927051,501.06,Star Performer
S0001,SKU00036,B,Kolkata,Kids,FizMax,Standard,12,132.84,33.3425748502994,298.41,Star Performer
S0001,SKU00037,B,Kolkata,Beverages,Miko,Premium,22,2215.4,296.4517628205128,647.31,Star Performer
S0001,SKU00038,B,Kolkata,Staples,FizMax,Value,17,544.34,98.4757100591716,452.77,Star Performer
S0001,SKU00039,B,Kolkata,Essentials,CoolSip,Premium,12,905.1600000000001,233.4634582132565,287.71,Star Performer
S0001,SKU00040,B,Kolkata,Snacks,FizMax,Standard,22,2160.18,287.44882845188283,651.5,Star Performer
S0001,SKU00041,B,Kolkata,Kids,ChillFrost,Premium,17,1698.3000000000002,299.108875739645,467.79,Star Performer
S0001,SKU00042,B,Kolkata,Kids,Miko,Premium,12,1076.76,264.29797704447634,307.4,Star Performer
S0001,SKU00043,B,Kolkata,Essentials,FizMax,Premium,16,1877.6,366.90210937499995,411.74,Star Performer
S0001,SKU00044,B,Kolkata,Frozen,FizMax,Premium,23,2049.5299999999997,265.35562776957164,672.37,Star Performer
S0001,SKU00045,B,Kolkata,Frozen,ChillFrost,Value,23,1250.28,161.5356818181818,674.0,Star Performer
S0001,SKU00046,B,Kolkata,Kids,Miko,Premium,16,1439.84,265.39651718983555,442.52,Star Performer
S0001,SKU00047,B,Kolkata,Kids,Miko,Standard,13,851.89,201.09126198083067,323.63,Star Performer
S0001,SKU00048,B,Kolkata,Kids,BakeWell,Premium,18,1143.54,198.56912559618442,475.89,Star Performer
S0001,SKU00049,B,Kolkata,Frozen,FizMax,Value,18,891.18,154.5079876160991,476.79,Star Performer
S0001,SKU00050,B,Kolkata,Beverages,FizMax,Standard,18,982.44,162.20594674556213,505.67,Star Performer
S0001,SKU00051,B,Kolkata,Essentials,Miko,Value,9,522.8100000000001,178.55739507959478,192.8,Star Performer
S0001,SKU00052,B,Kolkata,Kids,Miko,Value,28,1484.56,167.59290625,785.81,Star Performer
S0001,SKU00053,B,Kolkata,Essentials,PureCare,Standard,21,1593.06,234.57733528550514,579.12,Star Performer
S0001,SKU00054,B,Kolkata,Snacks,Miko,Value,25,1160.0,140.67413010590013,724.6,Star Performer
S0001,SKU00055,B,Kolkata,Beverages,ChillFrost,Standard,20,1557.8,239.2253046062407,551.19,Star Performer
S0001,SKU00056,B,Kolkata,Kids,CoolSip,Value,22,1083.28,153.2817469879518,606.72,Star Performer
S0001,SKU00057,B,Kolkata,Kids,Miko,Standard,21,1457.19,211.43192307692306,589.2,Star Performer
S0001,SKU00058,B,Kolkata,Essentials,FizMax,Premium,16,1286.4,243.02468085106383,429.33,Star Performer
S0001,SKU00059,B,Kolkata,Essentials,PureCare,Value,16,233.12,43.775532233883055,432.53,Star Performer
S0001,SKU00060,B,Kolkata,Frozen,FizMax,Premium,33,2649.9,234.70401234567902,1029.04,Star Performer
S0001,SKU00061,B,Kolkata,Snacks,ChillFrost,Value,18,456.48,81.152,462.5,Star Performer
S0001,SKU00062,B,Kolkata,Snacks,FizMax,Value,20,406.59999999999997,63.123760932944606,544.13,Star Performer
S0001,SKU00063,B,Kolkata,Staples,FizMax,Premium,21,2145.99,314.4540949554896,582.45,Star Performer
S0001,SKU00064,B,Kolkata,Snacks,FizMax,Premium,7,735.77,340.08019374068556,116.35,Star Performer
S0001,SKU00065,B,Kolkata,Staples,PureCare,Value,17,573.24,102.86549132947977,457.27,Star Performer
S0001,SKU00066,B,Kolkata,Beverages,Miko,Standard,18,495.36,86.57879365079366,472.15,Star Performer
S0001,SKU00067,B,Kolkata,Beverages,BakeWell,Value,17,339.15,61.7230998509687,449.47,Star Performer
S0001,SKU00068,B,Kolkata,Essentials,Miko,Standard,24,2002.56,243.03369014084504,723.98,Star Performer
S0001,SKU00069,B,Kolkata,Frozen,CoolSip,Value,10,232.2,66.3946875,249.73,Star Performer
S0001,SKU00070,B,Kolkata,Kids,BakeWell,Value,15,791.1,168.7054005934718,368.92,Star Performer
S0001,SKU00071,B,Kolkata,Frozen,Miko,Value,33,2461.14,235.56915407854984,944.76,Star Performer
S0001,SKU00072,B,Kolkata,Staples,CoolSip,Premium,12,1259.6399999999999,302.2934134615385,316.69,Star Performer
S0001,SKU00073,B,Kolkata,Essentials,PureCare,Standard,16,422.24,81.76440860215054,416.41,Star Performer
S0001,SKU00074,B,Kolkata,Frozen,Miko,Premium,26,2313.74,263.19466666666665,779.1,Star Performer
S0001,SKU00075,B,Kolkata,Essentials,PureCare,Standard,15,1679.55,331.13176386913227,407.22,Star Performer
S0001,SKU00076,B,Kolkata,Snacks,BakeWell,Standard,24,918.0,113.91718506998444,705.85,Star Performer
S0001,SKU00077,B,Kolkata,Frozen,FizMax,Standard,25,2223.5,275.0201418439716,708.49,Star Performer
S0001,SKU00078,B,Kolkata,Beverages,CoolSip,Premium,12,1019.04,252.1866666666667,304.08,Star Performer
S0001,SKU00079,B,Kolkata,Snacks,FizMax,Premium,22,2550.24,367.1956886227545,594.52,Star Performer
S0001,SKU00080,B,Kolkata,Kids,BakeWell,Value,14,312.90000000000003,67.79954268292683,361.51,Star Performer
S0001,SKU00081,B,Kolkata,Staples,PureCare,Value,25,833.0,101.47025495750708,720.93,Star Performer
S0001,SKU00082,B,Kolkata,Snacks,PureCare,Value,20,762.4,120.31098674521355,533.69,Star Performer
S0001,SKU00083,B,Kolkata,Kids,FizMax,Value,5,102.55000000000001,64.22703363914374,59.67,Star Performer
S0001,SKU00084,B,Kolkata,Essentials,PureCare,Premium,16,1689.92,320.4589037037037,427.34,Star Performer
S0001,SKU00085,B,Kolkata,Frozen,CoolSip,Value,17,650.42,116.27587969924811,459.38,Star Performer
S0001,SKU00086,B,Kolkata,Snacks,CoolSip,Premium,18,1556.46,257.7495716395864,503.87,Star Performer
S0001,SKU00087,B,Kolkata,Beverages,ChillFrost,Value,16,343.2,66.04426229508196,419.65,Star Performer
S0001,SKU00088,B,Kolkata,Staples,BakeWell,Premium,16,1208.48,242.06925872093024,399.23,Star Performer
S0001,SKU00089,B,Kolkata,Kids,PureCare,Standard,20,348.8,52.36919605077574,566.04,Star Performer
S0001,SKU00090,B,Kolkata,Staples,FizMax,Value,12,823.56,217.9522424242424,277.86,Star Performer
S0001,SKU00091,B,Kolkata,Kids,Miko,Premium,19,2270.5,379.34735202492215,498.53,Star Performer
S0001,SKU00092,B,Kolkata,Snacks,BakeWell,Premium,17,1357.45,247.45846645367413,448.56,Star Performer
S0001,SKU00093,B,Kolkata,Staples,PureCare,Premium,17,1584.0600000000002,275.5893859649123,474.79,Star Performer
S0001,SKU00094,B,Kolkata,Frozen,Miko,Value,12,278.15999999999997,71.21566265060241,290.59,Star Performer
S0001,SKU00095,B,Kolkata,Kids,PureCare,Value,15,1009.6500000000001,211.39380726698263,377.62,Star Performer
S0001,SKU00096,B,Kolkata,Essentials,ChillFrost,Value,25,688.0,84.13866666666667,717.7,Star Performer
S0001,SKU00097,B,Kolkata,Essentials,PureCare,Value,26,1250.6,148.09736842105264,744.44,Star Performer
S0001,SKU00098,B,Kolkata,Kids,FizMax,Standard,20,2121.3999999999996,313.84882525697503,575.93,Star Performer
S0001,SKU00099,B,Kolkata,Essentials,FizMax,Standard,20,2247.4,327.85600000000005,585.48,Star Performer
S0001,SKU00100,B,Kolkata,Staples,FizMax,Premium,13,1161.68,278.55581920903956,317.04,Star Performer
S0001,SKU00101,B,Kolkata,Essentials,FizMax,Premium,12,1037.28,265.54368,290.62,Star Performer
S0001,SKU00102,B,Kolkata,Beverages,PureCare,Premium,21,2201.22,312.1878901734104,605.09,Star Performer
